### Consolidated Categorical Variable Analysis ###
========================================================================================================================


### Job Summary ###


| Job           |   no |   yes |   Total |   % no |   % yes |   % Total |
|:--------|-----:|------:|--------:|-------:|--------:|----------:|
| apr     |  179 |    36 |     215 |  83.26 |   16.74 |       100 |
| aug     |  572 |    64 |     636 |  89.94 |   10.06 |       100 |
| dec     |   10 |    12 |      22 |  45.45 |   54.55 |       100 |
| jul     |  652 |    59 |     711 |  91.7  |    8.3  |       100 |
| jun     |  462 |    68 |     530 |  87.17 |   12.83 |       100 |
| mar     |   20 |    28 |      48 |  41.67 |   58.33 |       100 |
| may     | 1288 |    90 |    1378 |  93.47 |    6.53 |       100 |
| nov     |  403 |    43 |     446 |  90.36 |    9.64 |       100 |
| oct     |   44 |    25 |      69 |  63.77 |   36.23 |       100 |
| sep     |   38 |    26 |      64 |  59.38 |   40.62 |       100 |
| Total   | 3668 |   451 |    4119 |  89.05 |   10.95 |       100 |


### Day_of_week Summary ###


| Day_of_week   |   no |   yes |   Total |   % no |   % yes |   % Total |
|:--------------|-----:|------:|--------:|-------:|--------:|----------:|
| fri           |  685 |    83 |     768 |  89.19 |   10.81 |       100 |
| mon           |  757 |    98 |     855 |  88.54 |   11.46 |       100 |
| thu           |  764 |    96 |     860 |  88.84 |   11.16 |       100 |
| tue           |  750 |    91 |     841 |  89.18 |   10.82 |       100 |
| wed           |  712 |    83 |     795 |  89.56 |   10.44 |       100 |
| Total         | 3668 |   451 |    4119 |  89.05 |   10.95 |       100 |


### Poutcome Summary ###


| Poutcome    |   no |   yes |   Total |   % no |   % yes |   % Total |
|:------------|-----:|------:|--------:|-------:|--------:|----------:|
| failure     |  387 |    67 |     454 |  85.24 |   14.76 |       100 |
| nonexistent | 3231 |   292 |    3523 |  91.71 |    8.29 |       100 |
| success     |   50 |    92 |     142 |  35.21 |   64.79 |       100 |
| Total       | 3668 |   451 |    4119 |  89.05 |   10.95 |       100 |
